1    1 62 22304 1006  03     422322214341          21432244443424212012411223167
2    1333124411433203141342141151 1111111 11414410314125122141131311 14X 1051000
3    1 19111221211311118                                                        
1    2194 21919 1940  01     211544213011          2182130004040400100002122600 
2    2 20103300001204001304261141 85232121 0000000                              
3    2 35122333213332226                                                        
1    3 33 31803 1555  02     423271224042          2186010002012120201403422040 
2    3 00201000013303331321141301 11111111 2322220221120532432111120 649 3633010
3    3                                                                          
1    4 63 11513 1105  03     110514223042          11814424414444441151241211438
2    4 44151322213142211442141151 11111111 1222443324116241111111421 349 2341000
3    4 2744112122112333X                                                        
1    5167 21304  668  01     211695219341          2136214244242442242142122450 
2    5 42104401523241324221241121 41322211 5544444324324342272132422 12272470000
3    5 19111222221211119                                                        
1    6148 11802  594  01     211524217231          2117020244203424232123232120 
2    6 03203300023202511131551322 21222221 3444232444343442252142331 133 2241000
3    6 55221133323113225                                                        
1    7219 11419 1108  07     211  5213831          2126040141343444255152223613 
2    7 54142425553244151451143271 81121111 5544444415124352272413115 15222420000
3    7 695666                                                                   
1    8 59 12718 1501  03     422281214042          114 041043445540441231144210 
2    8 4444400021133443222231122211123223 23444452214222331492141132 611 2552000
3    8                                                                          
1    9 96 21313  684  03     211454214121          212 344422104244131332322413 
2    9 23201200012343111112141111 75222223 23332231252                          
3    9222222121213212227                                                        
1   10103 12207 1106  03     101  6211722          21795455455451550551511315514
2   10553154151553354452454151101 1121111 24554445344110541193312131 74X        
3   10                                                                          
1   11 19 31313 1018  01     321362214122          2173020444440250203112132200 
2   11 00000000001103401402232121111132223 0030200434322562441141111 142 2272000
3   11                                                                          
1   12198 21609  629  03     211382218042          11723233423124322242224222116
2   12 22101110011143121452541122111121113 2233220214222242422242321 124 1462000
3   12 43122211213221119                                                        
1   13198 21914 1021  03     424261217032          1143243422221220124113331557 
2   13 20231202023433111301231124 22232211 2111015225242442131111411 634 2473011
3   13                                                                          
1   14 60 22904  508  03     211494216141          21540242322402032011211224123
2   14 02143321343111112331131151 1112111 21133032324114252491121221 14723241000
3   14                                                                          
1   15 36 12615 1271  03     211464214011          2182344000040100452102221123 
2   15 00200302303244203521241331 1112112 32334322240434221122121312 132 2831000
3   15 65432221221123212                                                        
1   16  6 21412 1980  03     312574213331          2113020142042124151531211010 
2   16 00203200003231143311131332111122323 5333543214220242412312231 132X3823000
3   16                                                                          
1   17 87 11717  532  05     10138221X742          215 000002040144111143131150 
2   17 44444444443344412112121232114211121 4444444124233106342111125 444 3011210
3   17                                                                          
1   18138 41718 1330  03     312281214321          2127014042440204202032122100 
2   18 00404004023244411402321232111122221 3000004224320107272132421 141 2243000
3   18                                                                          
1   19219 12313 1723  02     312554212341          1183542544145324031144232150 
2   19 5555455553324431241114110211223222 23534553325223547492112122 113 2844000
3   19                                                                          
1   20177 21603  506  01     211  2216342          2117035532535254115223431210 
2   20 55252000003131211232141141 611212 2 0223423220323533131112312 149 2251000
3   20229442421211122223                                                        
1   21 84 12717  874  03     211564215041          21283140244404202221411211113
2   21 02134401032233011121311411 1422122 23444444124233207122111321 14242243000
3   21173341422211123334                                                        
1   22 84 12315 2404  03     312534214111          1129031031030120122222231000 
2   22 0300220200320111112123114211111222 13200223224                           
3   22                                                                          
1   23161 12609 2586  01     321745213841          1147123544344444252144122410 
2   23 54454355532344511444453211 0     4 24444444134233352252122414 147 2182000
3   23 48212211221112225                                                        
1   24 24 22803  972  01     211634219812          11542142334424332221421324136
2   24 43103020023231011332221131 2122222 23444431214234352262232421 14751750100
3   24 18122112223221117                                                        
1   25188 41717 1432  03     211644214311          2128040400240104100204121000 
2   25 0400000000346400340110130211111221                                       
3   25115453523231214                                                           
1   26176 41301  594  01     211403219322          119 545545544344124113432110 
2   26 44332443414343401142443301 0     43 4425214144233241122112311 14573470000
3   26  2441131223322332                                                        
1   27 88 32216  685  02     211433214131          2121324433433334211143411210 
2   27 00222202203104111152111131 4111212 14444444212143532441121221 14Y 3831000
3   27 58222122122111123                                                        
1   28148 11203  983  01     211725215842          21X 020301200100401232234200 
2   28 00202300023204023231101132 21221221 0003033320323452122322533 142 2021000
3   28 84234523321122225                                                        
1   29222 42502  491  03     110241217022          113 5141533454542421521234228
2   29 53553255321341421222521101 5122222 24222522223235352271132422 649 1744013
3   29                                                                          
1   30 62 41518 2552  02     321191214011          1163324214133142201403332010 
2   30 00202020403343332301441201 0     21 4222220332120707122211112 643 2843011
3   30                                                                          
1   31181 32212  278  01     101281146041          21270520100201000114021235014
2   3152032023030320140111110112211112121 12200200323120526442143210 546 2X34100
3   31                                                                          
1   32 63 12216  705  03     211221216332          218 040031220103103143131220 
2   32 0300200030310301120114110211112222 23333003210230241112112311 149 2621000
3   32 63432122222112324                                                        
1   33145 21203 1547  04     211584213322          2141113524131435224141121230 
2   33 02101201033243231342141331111122211 5244445420233342471122112 141 2142110
3   33                                                                          
1   34223 42703  776  03     211362225241          218 0403000101001114024221135
2   34820101102233135423432151141 1113111 11004010323334211132112111 249 2552000
3   34129352133333112330                                                        
1   35100 21212  789  01     321433114341          21450540300502054121341211185
2   35300122300124114553352101122141111113 1020200440310211442324233 246 2532011
3   35                                                                          
1   36 30 22313  668  01     211332235121          2154000000000000011202123040 
2   36 0220022010313311231111113414111111 11510111324110106092142120 149 3221000
3   36 55254221223323334                                                        
